,type,area,bed,bath,toilet,price
355,flat / apartment,Ikoyi,4 ,5 ,5 ,16000000
356,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
357,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
358,flat / apartment,Ikoyi,4 ,4 ,5 ,21000000
359,flat / apartment,Victoria Island,2 ,2 ,3 ,18500000
360,flat / apartment,Lekki,4 ,4 ,5 ,2600000
361,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
362,flat / apartment,Oniru,3 ,3 ,4 ,3500000
363,semi detached duplex,Ikoyi,5 ,5 ,6 ,5000000
364,terraced duplex,Lekki,4 ,4 ,5 ,5000000
365,flat / apartment,Lekki,3 ,3 ,4 ,3500000
366,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
367,terraced duplex,Ikoyi,5 ,5 ,6 ,13000000
368,terraced duplex,Ikoyi,4 ,4 ,5 ,8500000
369,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
370,terraced duplex,Lekki,4 ,4 ,5 ,65000000
371,flat / apartment,Lekki,2 ,2 ,3 ,2200000
372,terraced duplex,Lekki,4 ,4 ,5 ,3000000
373,flat / apartment,Aguda,3 ,3 ,4 ,1000000
374,terraced duplex,Lekki,4 ,4 ,5 ,3500000
375,detached duplex,Victoria Island,5 ,6 ,7 ,9000000
376,flat / apartment,Oniru,3 ,3 ,4 ,3500000
377,semi detached duplex,Ikoyi,4 ,4 ,5 ,8500000
378,flat / apartment,Ikoyi,3 ,3 ,3 ,23000000
379,semi detached duplex,Ikoyi,3 ,3 ,4 ,10000000
380,flat / apartment,Ikoyi,4 ,4 ,5 ,20000000
381,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
382,detached duplex,Lekki,4 ,4 ,5 ,4200000
383,semi detached duplex,Surulere,4 ,4 ,4 ,3000000
384,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
385,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
386,semi detached duplex,Lekki,5 ,5 ,6 ,8000000
387,flat / apartment,Surulere,2 ,2 ,3 ,2200000
388,flat / apartment,Victoria Island,2 ,2 ,3 ,4000000
389,detached duplex,Ojo,7 ,7 ,8 ,6500000
390,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
391,terraced duplex,Lekki,4 ,4 ,4 ,6000000
392,flat / apartment,Ikoyi,3 ,3 ,4 ,4500000
393,flat / apartment,Ikoyi,3 ,3 ,4 ,8000000
394,flat / apartment,Ikoyi,3 ,3 ,5 ,4000000
395,terraced duplex,Ikoyi,4 ,,5 ,12000000
396,flat / apartment,Lekki,4 ,4 ,5 ,4000000
397,detached duplex,Ikoyi,5 ,5 ,6 ,15000000
398,flat / apartment,Ikoyi,,,,8000000
399,semi detached duplex,Ikoyi,4 ,4 ,5 ,12500000
400,terraced duplex,Ikoyi,3 ,3 ,4 ,14500000
401,terraced duplex,Lekki,4 ,4 ,5 ,3000000
402,flat / apartment,Ikoyi,2 ,3 ,3 ,7000000
403,terraced duplex,Ikoyi,4 ,4 ,5 ,7000000
404,flat / apartment,Victoria Island,1 ,1 ,2 ,12000000
405,semi detached duplex,Oniru,5 ,6 ,5 ,5500000
406,terraced duplex,Surulere,4 ,4 ,5 ,3000000
407,terraced duplex,Ikoyi,4 ,4 ,5 ,8500000
408,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
409,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
410,flat / apartment,Ikoyi,3 ,3 ,4 ,7000000
411,flat / apartment,Ikoyi,3 ,2 ,3 ,10000000
412,flat / apartment,Ikoyi,,,,10000000
413,flat / apartment,Victoria Island,3 ,3 ,4 ,15000000
414,terraced duplex,Lekki,4 ,4 ,5 ,3200000
415,flat / apartment,Lekki,3 ,3 ,4 ,3500000
416,semi detached duplex,Ikoyi,6 ,,,10000000
417,flat / apartment,Oniru,3 ,3 ,4 ,5000000
418,flat / apartment,Ikoyi,4 ,4 ,5 ,16000000
419,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
420,flat / apartment,Victoria Island,3 ,3 ,4 ,14000000
421,flat / apartment,Lekki,3 ,3 ,4 ,3000000
422,flat / apartment,Victoria Island,3 ,3 ,4 ,3500000
423,semi detached duplex,Ikoyi,4 ,4 ,4 ,10000000
424,flat / apartment,Ikoyi,2 ,2 ,3 ,7000000
425,terraced duplex,Ikoyi,4 ,4 ,5 ,7000000
426,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
427,detached duplex,Lekki,4 ,4 ,5 ,4500000
428,shop,Lekki,1 ,1 ,1 ,800000
429,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
430,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
431,flat / apartment,Lekki,2 ,2 ,3 ,3200000
432,flat / apartment,Ikoyi,3 ,3 ,4 ,8000000
433,flat / apartment,Ikoyi,3 ,3 ,3 ,8500000
434,terraced duplex,Lekki,3 ,3 ,4 ,2800000
435,flat / apartment,Ikoyi,4 ,5 ,6 ,12000000
436,semi detached duplex,Ikoyi,4 ,4 ,5 ,6500000
437,flat / apartment,Ikoyi,3 ,3 ,4 ,80000
438,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
439,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
440,flat / apartment,Ikoyi,3 ,3 ,4 ,14000000
441,flat / apartment,Ikoyi,3 ,3 ,4 ,4000000
442,flat / apartment,Ikoyi,4 ,4 ,5 ,20000000
443,semi detached duplex,Ikoyi,5 ,5 ,6 ,13000000
444,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
445,flat / apartment,Ikoyi,3 ,3 ,4 ,12000000
446,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
447,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
448,flat / apartment,Ojuelegba,2 ,2 ,3 ,1000000
449,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
450,flat / apartment,Ikoyi,1 ,1 ,2 ,5000000
451,semi detached duplex,Lekki,4 ,4 ,5 ,6000000
452,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
453,flat / apartment,Ikoyi,3 ,3 ,4 ,7500000
454,flat / apartment,Ikoyi,4 ,4 ,5 ,8000000
455,flat / apartment,Ikoyi,3 ,3 ,4 ,12000000
456,flat / apartment,Surulere,3 ,2 ,2 ,1500000
457,terraced duplex,Ikoyi,4 ,4 ,5 ,20000000
458,flat / apartment,Lekki,3 ,3 ,4 ,2200000
459,semi detached duplex,Ikoyi,5 ,5 ,6 ,8000000
460,flat / apartment,Ikoyi,3 ,3 ,4 ,100000
461,terraced duplex,Ikoyi,3 ,3 ,4 ,13500000
462,flat / apartment,Oniru,1 ,1 ,1 ,2250000
463,terraced duplex,Lekki,5 ,5 ,6 ,10000000
464,flat / apartment,Oniru,3 ,4 ,4 ,5000000
465,flat / apartment,Ikoyi,2 ,2 ,3 ,6000000
466,terraced duplex,Lekki,4 ,4 ,5 ,3500000
467,terraced duplex,Oniru,3 ,3 ,4 ,4500000
468,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
469,flat / apartment,Ikoyi,4 ,5 ,5 ,7500000
470,flat / apartment,Iyana Ipaja,2 ,2 ,3 ,350000
471,terraced duplex,Ikoyi,4 ,4 ,5 ,10000000
