,type,area,bed,bath,toilet,price
698,flat / apartment,Victoria Island,3 ,3 ,3 ,18000000
699,flat / apartment,Gbagada,,,,500000
700,flat / apartment,Lekki,4 ,,,3500000
701,flat / apartment,Ikoyi,3 ,3 ,3 ,7500000
702,flat / apartment,Bariga,,,,300000
703,flat / apartment,Ojo,3 ,3 ,4 ,2200000
704,flat / apartment,Lagos Mainland,2 ,2 ,2 ,700000
705,flat / apartment,Lagos Mainland,2 ,2 ,3 ,2000000
706,semi detached duplex,Ikoyi,5 ,5 ,6 ,16000000
707,flat / apartment,Akoka,1 ,,,500000
708,flat / apartment,Victoria Island,3 ,,,12000000
709,flat / apartment,Ikoyi,3 ,3 ,3 ,10000000
710,flat / apartment,Lagos Mainland,2 ,2 ,2 ,700000
711,semi detached duplex,Ikoyi,5 ,,,20000000
712,flat / apartment,Ikoyi,4 ,4 ,5 ,25000000
713,detached duplex,Lekki,5 ,5 ,6 ,4000000
714,flat / apartment,Victoria Island,3 ,3 ,3 ,12000000
715,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
716,terraced duplex,Ikoyi,4 ,5 ,6 ,15000000
717,flat / apartment,Ikoyi,4 ,4 ,5 ,8000000
718,detached duplex,Victoria Island,,,,30000000
719,detached duplex,Ikeja,5 ,5 ,6 ,13000000
720,flat / apartment,Ikoyi,,,,7000000
721,flat / apartment,Ikoyi,4 ,4 ,5 ,18000000
722,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
723,terraced duplex,Lekki,3 ,3 ,4 ,3500000
724,flat / apartment,Gbagada,1 ,1 ,1 ,450000
725,flat / apartment,Ikoyi,4 ,,,12000000
726,flat / apartment,Ikoyi,1 ,,,5000000
727,flat / apartment,Victoria Island,3 ,3 ,3 ,10000000
728,flat / apartment,Victoria Island,3 ,3 ,3 ,15000000
729,flat / apartment,Ikoyi,2 ,,,15000000
730,flat / apartment,Ikoyi,3 ,3 ,4 ,8000000
731,flat / apartment,Victoria Island,4 ,,,18000000
732,flat / apartment,Gbagada,4 ,,,3800000
733,flat / apartment,Oniru,3 ,3 ,4 ,5000000
734,flat / apartment,Victoria Island,3 ,3 ,4 ,15000000
735,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
736,flat / apartment,Yaba,,,,600000
737,flat / apartment,Ikoyi,4 ,4 ,4 ,12000000
738,flat / apartment,Ikoyi,4 ,4 ,4 ,15000000
739,flat / apartment,Lekki,3 ,2 ,3 ,3000000
740,detached duplex,Ikeja,5 ,5 ,6 ,15000000
741,flat / apartment,Sabo,,,,500000
742,terraced duplex,Ikoyi,3 ,,,15000000
743,flat / apartment,Victoria Island,3 ,,,12000000
744,flat / apartment,Lagos Mainland,3 ,3 ,4 ,850000
745,flat / apartment,Gbagada,3 ,,,3500000
746,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
747,semi detached duplex,Oniru,4 ,4 ,5 ,8000000
748,flat / apartment,Lagos Mainland,1 ,1 ,1 ,450000
749,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
750,flat / apartment,Lekki,3 ,3 ,4 ,4000000
751,flat / apartment,Oniru,3 ,3 ,3 ,4000000
752,flat / apartment,Oniru,2 ,2 ,3 ,3000000
753,flat / apartment,Oniru,3 ,,,3700000
754,detached duplex,Ojo,5 ,5 ,6 ,6000000
755,semi detached duplex,Gbagada,3 ,3 ,4 ,2500000
756,terraced duplex,Ikoyi,3 ,3 ,3 ,16000000
757,flat / apartment,Ikoyi,3 ,3 ,3 ,13000000
758,flat / apartment,Oniru,3 ,3 ,4 ,4000000
759,flat / apartment,Akoka,3 ,,,1500000
760,terraced duplex,Oniru,4 ,4 ,5 ,4300000
761,flat / apartment,Lekki,3 ,3 ,4 ,2500000
762,flat / apartment,Ikoyi,3 ,3 ,3 ,13000000
763,flat / apartment,Oniru,3 ,3 ,3 ,4000000
764,terraced duplex,Lekki,4 ,4 ,4 ,4000000
765,terraced duplex,Ogudu,4 ,4 ,5 ,3200000
766,terraced duplex,Oniru,4 ,4 ,5 ,7500000
767,flat / apartment,Ogudu,,,,1100000
768,flat / apartment,Ikeja,3 ,3 ,4 ,2500000
769,flat / apartment,Akoka,3 ,,,700000
770,flat / apartment,Anthony Village,1 ,1 ,2 ,800000
771,flat / apartment,Gbagada,3 ,3 ,4 ,1200000
772,flat / apartment,Akoka,1 ,1 ,2 ,700000
773,flat / apartment,Ikoyi,3 ,3 ,3 ,12000000
774,flat / apartment,Lagos Mainland,1 ,1 ,1 ,400000
775,flat / apartment,Oniru,3 ,3 ,4 ,4500000
776,flat / apartment,Ikoyi,3 ,3 ,3 ,9500000
777,flat / apartment,Lagos Mainland,1 ,1 ,1 ,600000
778,flat / apartment,Yaba,4 ,,,2000000
779,flat / apartment,Victoria Island,4 ,4 ,4 ,17000000
780,flat / apartment,Ikeja,3 ,3 ,4 ,3500000
781,flat / apartment,Victoria Island,5 ,5 ,5 ,25000000
782,flat / apartment,Ikoyi,4 ,4 ,5 ,10000000
783,detached duplex,Ikoyi,5 ,,,35000000
784,flat / apartment,Ikoyi,3 ,3 ,4 ,8500000
785,flat / apartment,Oniru,3 ,3 ,3 ,6000000
786,flat / apartment,Victoria Island,3 ,,,15000000
787,flat / apartment,Kosofe,2 ,2 ,2 ,800000
788,flat / apartment,Lekki,3 ,3 ,4 ,4500000
789,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
790,flat / apartment,Ajah,2 ,,,700000
791,terraced duplex,Ikeja,5 ,5 ,6 ,13000000
792,flat / apartment,Akoka,3 ,3 ,4 ,1100000
793,flat / apartment,Yaba,,,,700000
794,semi detached duplex,Lekki,4 ,,,6500000
795,detached duplex,Lekki,4 ,4 ,5 ,6500000
796,detached bungalow,Lekki,4 ,4 ,4 ,4500000
797,flat / apartment,Ikoyi,1 ,1 ,1 ,7000000
798,flat / apartment,Ikoyi,4 ,4 ,5 ,8500000
799,flat / apartment,Aguda,3 ,,,1500000
800,flat / apartment,Ebute Metta,3 ,,,1300000
801,flat / apartment,Ikoyi,4 ,4 ,5 ,12000000
802,flat / apartment,Gbagada,1 ,1 ,2 ,700000
803,flat / apartment,Oniru,3 ,3 ,4 ,4000000
804,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
805,flat / apartment,Abule,,,,600000
806,flat / apartment,Shomolu,3 ,,,900000
807,flat / apartment,Oniru,3 ,3 ,4 ,4500000
808,flat / apartment,Lagos Mainland,3 ,3 ,3 ,400000
809,flat / apartment,Ikoyi,3 ,,,18000000
810,flat / apartment,Victoria Island,3 ,3 ,4 ,12000000
811,flat / apartment,Mushin,2 ,,,800000
812,flat / apartment,Shomolu,,,,400000
813,flat / apartment,Oniru,3 ,3 ,3 ,4000000
814,terraced duplex,Kosofe,5 ,5 ,6 ,5000000
815,detached duplex,Ikeja,5 ,5 ,6 ,12000000
816,flat / apartment,Lekki,4 ,3 ,4 ,4700000
817,flat / apartment,Ajah,2 ,2 ,,900000
818,flat / apartment,Ikeja,2 ,2 ,3 ,1200000
819,flat / apartment,Ojo,3 ,3 ,3 ,1500000
820,flat / apartment,Lekki,2 ,2 ,3 ,2500000
821,flat / apartment,Victoria Island,3 ,,,15000000
822,flat / apartment,Ikoyi,2 ,,,7000000
823,terraced duplex,Ikoyi,5 ,5 ,6 ,6000000
824,flat / apartment,Victoria Island,4 ,,,16000000
825,flat / apartment,Shomolu,,3 ,,1000000
826,semi detached duplex,Ikoyi,4 ,4 ,5 ,12000000
827,flat / apartment,Victoria Island,4 ,,,36000000
828,flat / apartment,Maryland,2 ,,,1200000
829,flat / apartment,Ikoyi,4 ,4 ,5 ,35000000
830,flat / apartment,Lekki,3 ,3 ,3 ,3500000
831,flat / apartment,Ikoyi,4 ,4 ,5 ,15000000
832,flat / apartment,Ojo,3 ,3 ,4 ,2200000
833,semi detached duplex,Oniru,4 ,4 ,5 ,5000000
834,detached duplex,Ikoyi,4 ,4 ,4 ,7000000
835,flat / apartment,Victoria Island,3 ,3 ,4 ,24000000
836,flat / apartment,Ikoyi,3 ,,,6000000
837,semi detached duplex,Lekki,4 ,4 ,4 ,3500000
838,flat / apartment,Lagos Mainland,2 ,2 ,3 ,350000
839,detached duplex,Ikoyi,4 ,,,7000000
840,flat / apartment,Ikoyi,3 ,3 ,3 ,7500000
841,detached duplex,Ikoyi,4 ,4 ,5 ,25000000
842,flat / apartment,Victoria Island,4 ,4 ,4 ,18000000
843,detached duplex,Gbagada,,,,3000000
844,flat / apartment,Victoria Island,3 ,3 ,4 ,5000000
845,flat / apartment,Ikoyi,3 ,3 ,3 ,70000000
846,semi detached duplex,Gbagada,5 ,4 ,4 ,3000000
847,detached duplex,Ikoyi,4 ,4 ,4 ,20000000
848,flat / apartment,Ojo,3 ,3 ,4 ,2200000
849,flat / apartment,Oniru,3 ,3 ,4 ,3700000
850,flat / apartment,Ikoyi,2 ,2 ,2 ,6500000
