,title,address,date_added,bed,bath,toilet,price
521,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 19 Sep 2020",4 beds,4 baths,5 Toilets,"8,500,000"
522,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Nov 2019",3 beds,3 baths,4 Toilets,"6,000,000"
523,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Orchid RoadLekki Lagos,"Updated 17 Nov 2020, Added 03 Oct 2020",4 beds,4 baths,5 Toilets,"3,500,000"
524,3 BEDROOM MASSIONETTE HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 17 Sep 2019",3 beds,3 baths,4 Toilets,"15,000,000"
525,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 23 Oct 2020",3 beds,3 baths,4 Toilets,"7,000,000"
526,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",3 beds,2 baths,3 Toilets,"10,000,000"
527,PENTHOUSE FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Nov 2020",beds,baths,Toilets,"10,000,000"
528,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
529,3 BEDROOM MASSIONETTE HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Jul 2020",3 beds,3 baths,4 Toilets,"12,000,000"
530,3 BEDROOM FLAT / APARTMENT FOR RENT,Adeola Odeku Victoria Island Lagos,"Updated 17 Nov 2020, Added 04 Aug 2020",3 beds,3 baths,4 Toilets,"15,000,000"
531,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,orchidLekki Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",4 beds,4 baths,5 Toilets,"3,200,000"
532,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 31 Oct 2020",3 beds,3 baths,4 Toilets,"3,500,000"
533,6 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Raymond Njoku StreetAwolowo Road Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Aug 2020",6 beds,baths,Toilets,"10,000,000"
534,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 20 Jan 2020",3 beds,3 baths,4 Toilets,"5,000,000"
535,4 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 26 Jun 2020",4 beds,4 baths,5 Toilets,"16,000,000"
536,10 BEDROOM HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR RENT,OffAdelabu Surulere Lagos,"Updated 17 Nov 2020, Added 09 Apr 2020",10 beds,10 baths,10 Toilets,"5,500,000"
537,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 18 Oct 2019",3 beds,3 baths,4 Toilets,"10,000,000"
538,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE,Pearl Gardens Estate Monastery road Sangotedo Lagos,"Updated 17 Nov 2020, Added 02 Nov 2020",4 beds,3 baths,3 Toilets,"38,800,000"
539,3 BEDROOM FLAT / APARTMENT FOR RENT,Eko Atlantic Victoria Island Lagos,"Updated 17 Nov 2020, Added 10 Aug 2020",3 beds,3 baths,4 Toilets,"14,000,000"
540,3 BEDROOM FLAT / APARTMENT FOR RENT,Jakande Lekki Lagos,"Updated 17 Nov 2020, Added 18 Jul 2020",3 beds,3 baths,4 Toilets,"3,000,000"
541,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 22 Oct 2019",3 beds,3 baths,4 Toilets,"3,500,000"
542,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 14 Jul 2020",4 beds,4 baths,4 Toilets,"10,000,000"
543,2 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Jul 2020",2 beds,2 baths,3 Toilets,"7,000,000"
544,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 14 Jan 2020",4 beds,4 baths,5 Toilets,"7,000,000"
