,title,address,date_added,bed,bath,toilet,price
629,3 BEDROOM FLAT / APARTMENT FOR RENT,ikate elegushiLekki Lagos,"Updated 17 Nov 2020, Added 30 Sep 2020",3 beds,3 baths,4 Toilets,"1,800,000"
630,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 01 Jun 2020",4 beds,4 baths,5 Toilets,"10,000,000"
631,4 BEDROOM MASSIONETTE HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Jul 2020",4 beds,4 baths,5 Toilets,"15,000,000"
632,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikota GRAIkota Lekki Lagos,"Updated 17 Nov 2020, Added 24 Aug 2020",4 beds,4 baths,5 Toilets,"3,000,000"
633,2 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Aug 2020",2 beds,2 baths,3 Toilets,"4,500,000"
634,3 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 23 Oct 2019",3 beds,3 baths,4 Toilets,"5,000,000"
635,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Jan 2020",4 beds,4 baths,5 Toilets,"8,500,000"
636,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"5,000,000"
637,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"3,500,000"
638,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
639,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Osborne Foreshore Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 26 May 2020",5 beds,5 baths,6 Toilets,"15,000,000"
640,2 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Aug 2020",2 beds,2 baths,3 Toilets,"3,500,000"
641,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Jun 2020",3 beds,3 baths,4 Toilets,"16,000,000"
642,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 18 Sep 2020",5 beds,5 baths,6 Toilets,"6,000,000"
643,2 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 02 Oct 2020",2 beds,2 baths,3 Toilets,"2,700,000"
644,5 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 06 Nov 2019",5 beds,5 baths,6 Toilets,"8,000,000"
645,4 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Sep 2020",4 beds,4 baths,5 Toilets,"10,000,000"
646,3 BEDROOM FLAT / APARTMENT FOR RENT,Idado Lekki Lagos,"Updated 17 Nov 2020, Added 07 Sep 2020",3 beds,3 baths,4 Toilets,"2,500,000"
647,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 Sep 2020",3 beds,2 baths,3 Toilets,"7,500,000"
648,4 BEDROOM DETACHED DUPLEX HOUSE FOR SALE,lekki county home estate Lekki Lagos,"Updated 17 Nov 2020, Added 12 Oct 2020",4 beds,4 baths,5 Toilets,"90,000,000"
649,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 14 Jun 2020",5 beds,5 baths,6 Toilets,"7,000,000"
650,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 22 Oct 2019",5 beds,5 baths,6 Toilets,"5,000,000"
651,3 BEDROOM FLAT / APARTMENT FOR RENT,IkoyiIkoyi Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",3 beds,3 baths,4 Toilets,"13,000,000"
652,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 31 Jul 2019",3 beds,3 baths,4 Toilets,"9,000,000"
653,3 BEDROOM MASSIONETTE HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 22 Oct 2019",3 beds,3 baths,4 Toilets,"15,000,000"
654,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Osborne Foreshore Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Jul 2020",4 beds,4 baths,5 Toilets,"10,000,000"
655,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"3,000,000"
656,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 15 May 2020",5 beds,5 baths,6 Toilets,"5,500,000"
657,3 BEDROOM FLAT / APARTMENT FOR RENT,lekki county homes lekkiAbule Egba Lagos,"Updated 17 Nov 2020, Added 07 Oct 2019",3 beds,3 baths,4 Toilets,"33,000,000"
658,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Lekki RightLekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 23 Jul 2020",5 beds,5 baths,6 Toilets,"10,000,000"
659,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island RoadBanana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",3 beds,3 baths,4 Toilets,"10,000,000"
660,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
661,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 06 Jul 2020",3 beds,3 baths,4 Toilets,"9,000,000"
662,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,"Ikeja GRA,Ikeja Gra Ikeja Lagos","Updated 17 Nov 2020, Added 25 Mar 2020",0 beds,0 baths,0 Toilets,"70,000"
663,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Agungi Lekki Lagos,"Updated 17 Nov 2020, Added 31 Oct 2020",4 beds,4 baths,5 Toilets,"3,500,000"
664,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 10 Jun 2020",4 beds,4 baths,5 Toilets,"10,000,000"
665,1 BEDROOM MINI FLAT FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 29 Aug 2020",1 beds,1 baths,2 Toilets,"28,000"
666,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 04 Aug 2020",3 beds,4 baths,4 Toilets,"13,500,000"
667,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 15 May 2020",4 beds,4 baths,5 Toilets,"11,000,000"
668,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 09 Jun 2020",4 beds,4 baths,5 Toilets,"4,500,000"
669,1 BEDROOM MINI FLAT FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 09 Nov 2020",1 beds,1 baths,2 Toilets,"1,800,000"
670,1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE,Taiye Olowu Street Off Victoria Arobieke. Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 08 Jun 2020",1 beds,1 baths,2 Toilets,"50,000,000"
671,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2019",4 beds,4 baths,5 Toilets,"12,000,000"
672,1 BEDROOM MINI FLAT OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 09 Nov 2020",1 beds,1 baths,1 Toilets,"1,200,000"
673,2 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",2 beds,2 baths,3 Toilets,"2,000,000"
674,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 16 Apr 2020",4 beds,4 baths,5 Toilets,"14,500,000"
675,4 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Nov 2019",4 beds,4 baths,5 Toilets,"8,000,000"
676,2 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 30 Jul 2020",2 beds,2 baths,3 Toilets,"5,000,000"
677,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Ikorodu RoadMaryland Ikeja Lagos,"Updated 17 Nov 2020, Added 18 Sep 2020",beds,baths,8 Toilets,"16,000,000"
678,4 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 13 Jan 2020",4 beds,4 baths,5 Toilets,"10,000,000"
679,4 BEDROOM MASSIONETTE HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 01 Jun 2020",4 beds,4 baths,5 Toilets,"8,500,000"
680,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 14 Jan 2020",3 beds,3 baths,4 Toilets,"20,000,000"
681,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Off Ikorodu Road Maryland Ikeja Lagos,"Updated 17 Nov 2020, Added 18 Sep 2020",beds,baths,1 Toilets,"35,000"
682,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
683,3 BEDROOM FLAT / APARTMENT FOR RENT,Osapa London Lekki Lagos,"Updated 17 Nov 2020, Added 14 Nov 2019",3 beds,3 baths,4 Toilets,"2,500,000"
684,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Jun 2020",3 beds,3 baths,4 Toilets,"12,000,000"
685,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Aug 2020",3 beds,3 baths,4 Toilets,"9,000,000"
686,3 BEDROOM FLAT / APARTMENT FOR RENT,IkoyiIkoyi Lagos,"Updated 17 Nov 2020, Added 21 Aug 2020",3 beds,3 baths,4 Toilets,"11,000,000"
687,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ikota Lekki Lagos,"Updated 17 Nov 2020, Added 16 Sep 2019",5 beds,5 baths,6 Toilets,"85,000,000"
688,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki RightLekki Lagos,"Updated 17 Nov 2020, Added 26 Aug 2020",4 beds,4 baths,5 Toilets,"5,000,000"
689,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Awolowo Way Ikeja Lagos,"Updated 17 Nov 2020, Added 10 Jul 2020",beds,baths,6 Toilets,"10,000,000"
690,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 20 Jun 2020",3 beds,3 baths,4 Toilets,"15,000,000"
691,3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 28 Nov 2019",3 beds,3 baths,4 Toilets,"12,000,000"
692,5 BEDROOM DETACHED DUPLEX HOUSE FOR SALE,... Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 06 Aug 2020",5 beds,6 baths,7 Toilets,"320,000,000"
693,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 10 Jun 2020",4 beds,4 baths,5 Toilets,"8,000,000"
694,3 BEDROOM FLAT / APARTMENT FOR RENT,Ologolo Lekki Lagos,"Updated 17 Nov 2020, Added 16 Sep 2020",3 beds,3 baths,4 Toilets,"2,600,000"
695,5 BEDROOM HOUSE FOR RENT,off Bishop Oluwole Ahmadu Bello Way Victoria Island Lagos,"Updated 17 Nov 2020, Added 28 Aug 2020",5 beds,4 baths,4 Toilets,"15,000,000"
696,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 31 Jul 2019",3 beds,3 baths,4 Toilets,"7,000,000"
697,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",3 beds,3 baths,4 Toilets,"3,800,000"
698,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"3,500,000"
699,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Aug 2020",2 beds,3 baths,3 Toilets,"12,000,000"
700,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ladipo Labinjo Crescent Bode Thomas Surulere Lagos,"Updated 17 Nov 2020, Added 25 Aug 2020",4 beds,3 baths,4 Toilets,"2,200,000"
701,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island RoadBanana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",4 beds,4 baths,5 Toilets,"8,000,000"
702,SHOP COMMERCIAL PROPERTY FOR RENT,along Adeniran Ogunsanya Surulere Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",0 beds,0 baths,0 Toilets,"2,000,000"
703,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Chevron Alternative DriveChevron Lekki Lagos,"Updated 17 Nov 2020, Added 18 Oct 2020",5 beds,5 baths,6 Toilets,"4,500,000"
704,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
705,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ajah Lagos,"Updated 17 Nov 2020, Added 18 Jun 2020",4 beds,4 baths,5 Toilets,"3,600,000"
706,3 BEDROOM FLAT / APARTMENT FOR RENT,Kofo Abayomi Victoria Island Lagos,"Updated 17 Nov 2020, Added 10 Dec 2019",3 beds,3 baths,4 Toilets,"13,000,000"
707,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 26 Jul 2020",3 beds,3 baths,4 Toilets,"10,000,000"
708,2 BEDROOM FLAT / APARTMENT FOR RENT,IkoyiIkoyi Lagos,"Updated 17 Nov 2020, Added 31 Aug 2020",2 beds,2 baths,3 Toilets,"8,000,000"
709,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Jun 2020",4 beds,4 baths,5 Toilets,"13,000,000"
710,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 09 Oct 2020",3 beds,3 baths,4 Toilets,"10,000,000"
711,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Aug 2020",3 beds,3 baths,4 Toilets,"9,000,000"
712,2 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,"Updated 17 Nov 2020, Added 13 Dec 2019",2 beds,2 baths,3 Toilets,"2,000,000"
713,3 BEDROOM FLAT / APARTMENT FOR RENT,ikate elegushiLekki Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",3 beds,3 baths,4 Toilets,"2,300,000"
714,1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE,Ikorodu Ikorodu Lagos,"Updated 17 Nov 2020, Added 30 Aug 2020",1 beds,1 baths,1 Toilets,"43,000,000"
715,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,OrchidLekki Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",4 beds,4 baths,5 Toilets,"3,000,000"
716,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ologolo Lekki Lagos,"Updated 17 Nov 2020, Added 31 Aug 2020",4 beds,4 baths,5 Toilets,"3,500,000"
717,3 BEDROOM FLAT / APARTMENT FOR RENT,SurulereWestern Avenue Surulere Lagos,"Updated 17 Nov 2020, Added 30 Apr 2018",3 beds,3 baths,4 Toilets,"1,100,000"
718,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",5 beds,5 baths,6 Toilets,"15,000,000"
719,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",3 beds,3 baths,4 Toilets,"4,500,000"
720,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 14 Jan 2020",4 beds,4 baths,5 Toilets,"5,000,000"
721,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Mar 2020",3 beds,4 baths,4 Toilets,"12,000,000"
722,3 BEDROOM FLAT / APARTMENT FOR RENT,Idado Lekki Lagos,"Updated 17 Nov 2020, Added 07 Sep 2020",3 beds,3 baths,4 Toilets,"2,000,000"
723,2 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Sep 2020",2 beds,2 baths,3 Toilets,"10,000,000"
724,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Orchid RoadChevron Lekki Lagos,"Updated 17 Nov 2020, Added 22 Oct 2020",4 beds,4 baths,4 Toilets,"3,500,000"
725,3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2019",3 beds,3 baths,4 Toilets,"18,000,000"
726,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
727,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 08 Jun 2020",3 beds,3 baths,4 Toilets,"6,500,000"
728,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 09 Jun 2020",2 beds,2 baths,3 Toilets,"10,000,000"
729,6 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 19 Oct 2020",6 beds,6 baths,7 Toilets,"6,500,000"
730,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Lekki RightLekki Lagos,"Updated 17 Nov 2020, Added 28 Aug 2020",5 beds,5 baths,6 Toilets,"7,000,000"
731,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 10 Nov 2020",3 beds,3 baths,4 Toilets,"3,500,000"
732,3 BEDROOM MASSIONETTE HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Aug 2020",3 beds,3 baths,4 Toilets,"8,500,000"
733,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 09 Oct 2020",3 beds,3 baths,4 Toilets,"6,500,000"
734,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 22 Sep 2020",3 beds,3 baths,4 Toilets,"11,000,000"
735,2 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 09 Oct 2019",2 beds,2 baths,3 Toilets,"6,500,000"
736,3 BEDROOM FLAT / APARTMENT FOR SALE,Yaba Gra Abule-Oja Yaba Lagos,"Updated 17 Nov 2020, Added 15 Mar 2020",3 beds,3 baths,4 Toilets,"45,000,000"
737,HOUSE FOR RENT,ologolo Lekki Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",0 beds,0 baths,0 Toilets,"1,500,000"
738,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Jul 2020",3 beds,3 baths,4 Toilets,"6,000,000"
739,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 29 Oct 2019",3 beds,3 baths,4 Toilets,"15,000,000"
740,SHOP IN A MALL COMMERCIAL PROPERTY FOR RENT,ChevronChevron Lekki Lagos,"Updated 17 Nov 2020, Added 28 Nov 2019",beds,baths,Toilets,"3,500,000"
741,3 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 21 May 2020",3 beds,3 baths,4 Toilets,"4,500,000"
742,3 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 21 Jan 2020",3 beds,3 baths,4 Toilets,"15,000,000"
743,3 BEDROOM FLAT / APARTMENT FOR RENT,Ajao Estate Anthony Village Maryland Lagos,"Updated 17 Nov 2020, Added 29 Apr 2020",3 beds,3 baths,4 Toilets,"1,800,000"
744,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 11 Jul 2020",3 beds,3 baths,4 Toilets,"3,000,000"
745,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Orchid Hotel RoadLekki Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",4 beds,4 baths,5 Toilets,"3,500,000"
746,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 01 Sep 2020",2 beds,2 baths,3 Toilets,"7,000,000"
747,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 09 Jul 2020",4 beds,4 baths,5 Toilets,"15,000,000"
748,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
749,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 18 Sep 2020",3 beds,3 baths,4 Toilets,"7,500,000"
750,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ikota Lekki Lagos,"Updated 17 Nov 2020, Added 31 Aug 2020",4 beds,4 baths,5 Toilets,"4,000,000"
751,2 BEDROOM FLAT / APARTMENT FOR RENT,Olajuwon StreetOjuelegba Surulere Lagos,"Updated 17 Nov 2020, Added 17 Aug 2020",2 beds,2 baths,2 Toilets,"1,300,000"
752,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Right.Lekki Lagos,"Updated 17 Nov 2020, Added 09 Oct 2020",4 beds,4 baths,5 Toilets,"5,000,000"
753,3 BEDROOM FLAT / APARTMENT FOR RENT,AnthonyMaryland Lagos,"Updated 17 Nov 2020, Added 29 Oct 2019",3 beds,3 baths,4 Toilets,"3,000,000"
754,3 BEDROOM FLAT / APARTMENT FOR RENT,Osborne Foreshore Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 10 Aug 2020",3 beds,4 baths,4 Toilets,"7,000,000"
755,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 16 Sep 2019",4 beds,4 baths,5 Toilets,"18,000,000"
756,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 18 Sep 2020",4 beds,4 baths,5 Toilets,"15,000,000"
757,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Ikota villa estateLekki Lagos,"Updated 17 Nov 2020, Added 08 Oct 2020",4 beds,4 baths,5 Toilets,"3,500,000"
758,4 BEDROOM HOUSE FOR SHORTLET,"Mekunwen Road, Brains And Hammers Estate, Life Camp Abuja","Updated 17 Nov 2020, Added 08 Sep 2020",4 beds,4 baths,5 Toilets,"100,000"
759,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Jun 2020",3 beds,3 baths,4 Toilets,"15,000,000"
760,4 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Road.Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 Aug 2020",4 beds,4 baths,5 Toilets,"15,000,000"
761,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,IkoyiIkoyi Lagos,"Updated 17 Nov 2020, Added 10 Aug 2020",4 beds,4 baths,5 Toilets,"6,000,000"
762,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 16 Apr 2020",4 beds,4 baths,5 Toilets,"5,000,000"
763,3 BEDROOM FLAT / APARTMENT FOR RENT,Bourdillon Ikoyi Lagos,"Updated 17 Nov 2020, Added 14 Jan 2020",3 beds,3 baths,4 Toilets,"15,000,000"
764,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Aug 2020",3 beds,3 baths,4 Toilets,"50,000"
765,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Oral Estate Lekki Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",4 beds,4 baths,5 Toilets,"3,500,000"
766,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 28 Oct 2020",3 beds,3 baths,4 Toilets,"11,000,000"
767,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 03 Sep 2020",4 beds,4 baths,5 Toilets,"12,000,000"
768,2 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",2 beds,2 baths,3 Toilets,"6,000,000"
769,2 BEDROOM FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Feb 2020",2 beds,2 baths,3 Toilets,"8,000,000"
770,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
