,title,address,date_added,bedroom,bathroom,toilet,parking_space,price
120,1 bedroom mini flat for rent,"Budland Street Opposite Omole Phase 1 Estate, Omole Phase 1, Ikeja, Lagos",Added on 07 Nov 2020,3,4,5,3,800000.00
121,3 bedroom flat for rent,"Lekki, Lagos",Added on 07 Nov 2020,3,2,4,2,3000000.00
122,2 bedroom flat for rent,"Ocean Garden Estate New Road Opposite Chevron, Lekki, Lagos",Added on 07 Nov 2020,2,3,4,2,1200000.00
123,3 bedroom flat for rent,"Abike Sulaiman Street Off Adebayo Doherty Rd, Lekki Phase 1, Lekki, Lagos",Added on 07 Nov 2020,2,1,5,2,2500000.00
124,Self contained (single rooms) for rent,"Opposite Chevy View New Road Bustop Alfa Beach, Lekki Expressway, Lekki, Lagos",Added on 07 Nov 2020,3,1,3,8,300000.00
125,3 bedroom flat for rent,"Along Channels Tv Station Opic, Opic, Isheri North, Lagos",Added on 07 Nov 2020,1,1,4,2,1000000.00
126,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added on 07 Nov 2020,2,1,2,1,400000.00
127,1 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 07 Nov 2020,3,2,1,2,1800000.00
128,4 bedroom flat for rent,"Sunny Villa Estate, Addo - Badore Road, Ajah, Lagos",Added on 05 Nov 2020,3,4,1,2,1000000.00
129,1 bedroom mini flat for rent,"Agungi, Lekki, Lagos",Added on 05 Nov 2020,1,3,1,4,1600000.00
130,Self contained (single rooms) for rent,"Agungi, Lekki, Lagos",Added on 06 Nov 2020,5,3,3,6,900000.00
131,Self contained (single rooms) for rent,"Nice Estate, Agungi, Lekki, Lagos",Added on 06 Nov 2020,2,3,4,1,1200000.00
132,3 bedroom flat for rent,"Addo Road Ajah Lagos, Ajah, Lagos",Added on 06 Nov 2020,2,1,4,2,800000.00
133,3 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 06 Nov 2020,2,3,3,6,7000000.00
134,3 bedroom flat for rent,"Lekki Scheme 2, Ajah, Lagos",Added on 06 Nov 2020,2,2,4,2,3500000.00
135,2 bedroom flat for rent,"Ikate Elegushi, Lekki, Lagos",Added on 14 Oct 2020,3,2,4,7,2500000.00
136,3 bedroom flat for rent,"Ikate Elegushi, Lekki, Lagos",Added on 05 Nov 2020,3,3,1,8,3000000.00
137,1 bedroom mini flat for rent,"Therra Annex, Sangotedo, Ajah, Lagos",Added on 06 Nov 2020,4,1,4,4,600000.00
