,title,address,date_added,bedroom,bathroom,toilet,parking_space,price
285,2 bedroom flat for rent,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos",Added on 05 Nov 2020,1,2,4,1,2500000.00
286,Self contained (single rooms) for rent,"Abraham Adesanya Estate, Ajah, Lagos",Added on 05 Nov 2020,2,3,1,1,300000.00
287,2 bedroom flat for rent,"Olokonla, Sangotedo, Ajah, Lagos",Added on 31 Oct 2020,1,1,4,2,1100000.00
288,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 06 Feb 2020,1,2,4,1,300000.00
289,1 bedroom mini flat for rent,"Yaba, Lagos., Yaba, Lagos",Added on 19 Aug 2020,1,3,4,10,800000.00
290,1 bedroom flat for rent,"Lakowe Gulf, Lakowe, Ibeju Lekki, Lagos",Added on 19 Aug 2020,1,2,1,6,400000.00
291,Self contained (single rooms) for rent,"Yaba, Lagos",Added on 05 Nov 2020,4,34,3,1,550000.00
292,1 bedroom mini flat for rent,"Off Freedom Way, Lekki Phase 1, Lekki, Lagos",Added on 05 Nov 2020,1,3,2,2,1800000.00
293,Self contained (single rooms) for rent,"Behind Romay Garden, Ilasan, Lekki, Lagos",Added on 05 Nov 2020,3,1,1,1,650000.00
294,3 bedroom flat for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 05 Nov 2020,3,1,3,2,3500000.00
295,2 bedroom flat for rent,"Lakowe Gulf Road, Lakowe, Ibeju Lekki, Lagos",Added on 05 Nov 2020,2,1,3,2,800000.00
296,3 bedroom flat for rent,"Royal Palm Estate ( Remlek), Badore, Ajah, Lagos",Added on 05 Nov 2020,2,2,3,7,1000000.00
297,3 bedroom flat for rent,"Ikoyi, Lagos",Added on 05 Nov 2020,3,2,4,8,8000000.00
298,4 bedroom flat for rent,"Lekki Right, Lekki, Lagos",Added on 05 Nov 2020,2,1,1,4,3500000.00
299,1 bedroom mini flat for rent,"Off Gram School, Ojodu, Lagos",Added on 05 Nov 2020,2,2,1,4,450000.00
300,1 bedroom mini flat for rent,"Palmgrove, Shomolu, Lagos",Added on 05 Nov 2020,2,3,1,6,350000.00
301,3 bedroom flat for rent,"Yaba, Lagos",Added on 05 Nov 2020,3,3,3,1,1300000.00
302,1 bedroom mini flat for rent,"Main Elesekan Town Road, Imalete Alafia, Ibeju Lekki, Lagos",Added on 05 Nov 2020,2,2,3,2,250000.00
303,3 bedroom flat for rent,"Peace Estate, Oregun, Ikeja, Lagos",Added on 05 Nov 2020,3,4,2,1,3000000.00
304,3 bedroom flat for rent,"By Idowu Martins, Off Adeola Odeku, Victoria Island (VI), Lagos",Added on 05 Nov 2020,1,3,3,2,8000000.00
305,3 bedroom flat for rent,"By Gerard Road, Old Ikoyi, Ikoyi, Lagos",Added on 05 Nov 2020,2,3,4,5,11000000.00
306,Self contained (single rooms) for rent,"Shomolu, Lagos",Added on 05 Nov 2020,3,3,4,1,250000.00
307,1 bedroom mini flat for rent,"Femi Okunnu Estate, Lekki, Lagos",Added on 05 Nov 2020,2,2,3,3,1200000.00
308,2 bedroom flat for rent,"Off Legail Ayorinde, Victoria Island Extension, Victoria Island (VI), Lagos",Added on 21 Sep 2020,1,3,5,3,3000000.00
309,3 bedroom flat for rent,"Off Ogunlauna Drive, Surulere, Lagos",Added on 31 Oct 2020,3,1,4,2,1500000.00
310,Self contained (single rooms) for rent,"Golf Course Road, Lakowe, Ibeju Lekki, Lagos",Added on 31 Oct 2020,3,1,3,1,400000.00
311,2 bedroom flat for rent,"Golf Course Road, Lakowe, Ibeju Lekki, Lagos",Added on 05 Feb 2020,3,2,3,1,800000.00
312,3 bedroom flat for rent,"Osapa London, Osapa, Lekki, Lagos",Added on 05 Nov 2020,2,1,3,2,1900000.00
313,2 bedroom flat for rent,"Atlantic View Estate Off Alfa Beach Road, Lekki Phase 2, Lekki, Lagos",Added on 02 Nov 2020,1,1,3,5,1500000.00
314,3 bedroom flat for rent,"Ikate By Chisco, Ikate, Lekki, Lagos",Added on 05 Nov 2020,1,1,2,5,2500000.00
315,3 bedroom flat for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 28 Sep 2020,4,1,2,4,3500000.00
316,Self contained (single rooms) for rent,"Tony Street, Lekki Phase 1, Lekki, Lagos",Added on 05 Nov 2020,4,1,3,1,1000000.00
317,Self contained (single rooms) for rent,"White Oak Estate, Ologolo, Lekki, Lagos",Added on 02 Oct 2020,1,4,1,1,700000.00
318,Self contained (single rooms) for rent,"Greenville Estate, Badore, Ajah, Lagos",Added on 03 Nov 2020,3,1,2,1,400000.00
319,2 bedroom flat for rent,"Spg Road, Ologolo, Lekki, Lagos",Added on 23 Sep 2020,3,3,1,9,1800000.00
320,2 bedroom flat for rent,"Gra, Yaba, Lagos",Added on 24 Feb 2020,3,2,1,2,1200000.00
321,1 bedroom mini flat for rent,"Pinnock Estate, Osapa, Lekki, Lagos",Added on 05 Nov 2020,4,2,2,1,1000000.00
322,2 bedroom flat for rent,"Ikoyi, Lagos",Added on 05 Nov 2020,1,3,4,2,10000000.00
323,3 bedroom flat for rent,"Off Adetokunbo Ademola Street, Victoria Island (VI), Lagos",Added on 05 Nov 2020,3,3,1,2,12000000.00
324,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 05 Nov 2020,3,4,4,6,12000000.00
325,2 bedroom flat for rent,"Banana Island Road, Ikoyi, Lagos",Added on 05 Nov 2020,4,2,3,4,8000000.00
326,4 bedroom flat for rent,"Banana Island Road, Ikoyi, Lagos",Added on 05 Nov 2020,3,2,3,1,14000000.00
327,3 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 05 Nov 2020,3,3,4,10,6500000.00
328,2 bedroom flat for rent,"Water Road, Iyana Ipaja, Ipaja, Lagos",Added on 28 Jun 2020,3,2,4,3,600000.00
329,4 bedroom flat for rent,"Lekki, Lekki Phase 1, Lekki, Lagos",Added on 05 Nov 2020,3,4,4,6,3500000.00
330,2 bedroom flat for rent,"Edmund Crescent Off Colonel Road, Yaba, Lagos",Added on 29 Aug 2020,3,1,3,5,1200000.00
331,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,2,2,3,6,3000000.00
332,1 bedroom mini flat for rent,"Freedom Way, Lekki, Lagos",Added on 04 Nov 2020,3,1,4,1,1800000.00
333,4 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 04 Nov 2020,2,3,3,1,12000000.00
334,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,3,2,4,1,1800000.00
335,2 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,3,1,2,3,2500000.00
336,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 04 Nov 2020,3,3,3,2,300000.00
337,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,1,3,1,6,1300000.00
338,1 bedroom mini flat for rent,"Alagbole, Ojodu, Lagos",Added on 04 Nov 2020,3,2,4,14,250000.00
339,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,2,1,3,1,1300000.00
340,1 bedroom mini flat for rent,"Palace Drive, Ikate Elegushi, Lekki, Lagos",Added on 08 Sep 2020,1,1,2,1,1200000.00
341,4 bedroom flat for rent,"Igbo Efon, Lekki, Lagos",Added on 04 Nov 2020,2,4,4,1,1800000.00
342,1 bedroom mini flat for rent,"Johnson Street, Ijesha, Surulere, Lagos",Added on 04 Nov 2020,2,3,4,5,450000.00
343,3 bedroom flat for rent,"Agungi, Lekki, Lagos",Added on 04 Nov 2020,5,1,4,1,2000000.00
344,3 bedroom flat for rent,"Gbagada Phase 2, Gbagada, Lagos",Added on 04 Nov 2020,3,3,3,3,3000000.00
345,2 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,3,3,1,9,6000000.00
346,2 bedroom flat for rent,"Agungi, Lekki, Lagos",Added on 30 Oct 2020,3,1,1,6,1000000.00
347,3 bedroom flat for rent,"Off Hakeem Dickson Street, Lekki Phase 1, Lekki, Lagos",Added on 30 Oct 2020,1,4,5,3,2800000.00
348,Self contained (single rooms) for rent,"Chevron, Lekki, Lagos",Added on 03 Nov 2020,3,4,1,3,2500000.00
349,2 bedroom flat for rent,"Ikate, Lekki, Lagos",Added on 04 Nov 2020,4,1,4,1,2500000.00
350,2 bedroom flat for rent,"Ikate Elegushi, Lekki, Lagos",Added on 04 Nov 2020,3,3,3,2,2500000.00
351,2 bedroom flat for rent,"Alagomeji, Yaba, Lagos",Added on 04 Nov 2020,3,3,1,2,1200000.00
352,3 bedroom flat for rent,"Ilaje, Ajah, Lagos",Added on 04 Nov 2020,3,1,4,3,1500000.00
353,2 bedroom flat for rent,"Peninsula Estate, Sangotedo, Ajah, Lagos",Added on 04 Nov 2020,3,1,5,3,1500000.00
354,3 bedroom flat for rent,"Ikate, Lekki, Lagos",Added on 04 Nov 2020,3,4,2,3,2500000.00
355,1 bedroom mini flat for rent,"Off Folagoro Road, Yaba, Lagos",Added on 04 Nov 2020,3,3,4,1,650000.00
356,2 bedroom flat for rent,"Palm Ocean Estate New Road Opposite Chevron, Lekki, Lagos",Added on 04 Nov 2020,3,3,4,1,1200000.00
357,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 04 Nov 2020,1,3,1,2,300000.00
358,3 bedroom flat for rent,"Ikota Villa Estate, By Mega Chicken, Lekki, Lagos",Added on 23 Jul 2020,3,3,1,1,1500000.00
359,2 bedroom flat for rent,"Ajah, Lagos",Added on 04 Nov 2020,3,3,5,5,1000000.00
360,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,2,2,4,2,2250000.00
361,3 bedroom flat for rent,"Osapa, Lekki, Lagos",Added on 04 Nov 2020,3,3,4,1,1700000.00
362,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,3,2,4,1,4000000.00
363,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,2,3,4,2,3500000.00
364,2 bedroom flat for rent,"Sangotedo, Ajah, Lagos",Added on 04 Nov 2020,3,3,4,2,950000.00
365,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,3,4,3,8,1800000.00
366,1 bedroom mini flat for rent,"Alaja Road, Ayobo, Lagos",Added on 27 Dec 2018,4,1,4,8,250000.00
367,4 bedroom flat for rent,"Mega Chicken, Ikota, Lekki, Lagos",Added on 23 Mar 2019,1,2,3,8,3000000.00
368,4 bedroom flat for rent,"Off Road 14, Lekki Phase 1, Lekki, Lagos",Added on 06 Jun 2019,3,2,4,6,2400000.00
369,1 bedroom mini flat for rent,"Admiralty Road, Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,2,1,4,2,1500000.00
370,3 bedroom flat for rent,"Ikate Elegushi, Lekki, Lagos",Added on 04 Nov 2020,2,2,4,2,3000000.00
371,3 bedroom flat for rent,"Primewater View Gardens 2, Ikate Elegushi, Lekki, Lagos",Added on 04 Nov 2020,1,1,1,8,3500000.00
372,Self contained (single rooms) for rent,"Alasia, Opposite Lbs, Olokonla, Ajah, Lagos",Added on 04 Nov 2020,3,3,3,2,170000.00
373,3 bedroom flat for rent,"Off Providence Street, Lekki, Lagos",Added on 04 Nov 2020,2,3,3,1,2500000.00
374,4 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,2,2,1,10,14000000.00
375,1 bedroom flat for rent,"Ilupeju, Lagos",Added on 04 Nov 2020,3,1,3,1,500000.00
376,3 bedroom flat for rent,"University View Estate, Opposite Lagos Business School (lbs), Ajah, Lagos",Added on 04 Nov 2020,1,3,3,2,900000.00
377,3 bedroom flat for rent,"Taodak Estate Ifako, Gbagada, Lagos",Added on 04 Nov 2020,3,4,6,3,1500000.00
378,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 31 Jan 2020,3,3,1,4,300000.00
379,Self contained (single rooms) for rent,"Ilupeju, Lagos",Added on 03 Feb 2020,3,4,4,1,350000.00
380,4 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 05 Feb 2020,2,1,4,8,14000000.00
381,3 bedroom flat for rent,"Ikate Elegushi, Lekki, Lagos",Added on 17 Feb 2020,1,3,2,2,2900000.00
382,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,1,3,2,2,13000000.00
383,3 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 04 Nov 2020,1,3,4,10,13000000.00
384,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 25 Sep 2020,3,3,5,10,4500000.00
385,3 bedroom flat for rent,"Off 2nd Avenue, Old Ikoyi, Ikoyi, Lagos",Added on 21 Sep 2020,1,3,4,7,7000000.00
386,2 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,3,1,4,2,12000000.00
387,3 bedroom flat for rent,"Off Alfred Rewane Road, Old Ikoyi, Ikoyi, Lagos",Added on 04 Nov 2020,1,3,1,3,9000000.00
388,2 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,3,4,4,1,4500000.00
389,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,2,2,4,1,3500000.00
390,3 bedroom flat for rent,"Off Palace Road, Oniru, Victoria Island (VI), Lagos",Added on 04 Nov 2020,1,1,4,5,3100000.00
391,3 bedroom flat for rent,"Off Mobolaji Johnson Road Ikoyi, Ikoyi, Lagos",Added on 04 Nov 2020,2,2,4,2,10000000.00
392,1 bedroom mini flat for rent,"Thera Peace Estate, Sangotedo, Ajah, Lagos",Added on 08 Oct 2020,3,1,4,4,800000.00
393,3 bedroom flat for rent,"Alternative Route, Oniru, Victoria Island (VI), Lagos",Added on 04 Nov 2020,1,1,1,4,2500000.00
394,2 bedroom flat for rent,"Magodo Phase 1, GRA, Magodo, Lagos",Added on 04 Nov 2020,2,3,4,4,1000000.00
395,1 bedroom mini flat for rent,"Ado Road, Ajah, Lagos",Added on 16 Sep 2020,3,1,4,2,600000.00
396,2 bedroom flat for rent,"Baale Be Street, Ojodu, Lagos",Added on 04 Nov 2020,3,1,3,2,700000.00
397,2 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,2,2,1,8,8000000.00
398,5 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,3,3,2,1,14000000.00
399,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 08 Sep 2020,1,2,1,2,300000.00
400,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,1,4,1,1,14000000.00
401,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 04 Nov 2020,1,1,4,2,14000000.00
402,3 bedroom flat for rent,"Senator Muse Street., GRA, Apapa, Lagos",Added on 04 Nov 2020,3,3,1,6,2000000.00
403,1 bedroom mini flat for rent,"Bakare Estate, Agungi, Lekki, Lagos",Added on 04 Nov 2020,3,2,1,1,1000000.00
404,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 04 Nov 2020,1,3,3,6,8000000.00
405,4 bedroom flat for rent,"Victoria Island Extension, Victoria Island (VI), Lagos",Added on 04 Nov 2020,2,1,4,1,6000000.00
406,3 bedroom flat for rent,"Ologolo, Lekki, Lagos",Added on 04 Nov 2020,1,3,3,4,1700000.00
407,3 bedroom flat for rent,"Ajao Estate, Anthony, Maryland, Lagos",Added on 04 Nov 2020,1,2,5,10,1800000.00
408,Self contained (single rooms) for rent,"Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,1,2,2,3,550000.00
409,3 bedroom flat for rent,"Yabatech Staff Quarters, Yaba, Lagos",Added on 31 Oct 2020,3,4,4,1,2500000.00
410,3 bedroom flat for rent,"Seaside Estate Badore Addo., Ajah, Lagos",Added on 02 Nov 2020,3,1,3,3,1200000.00
411,3 bedroom flat for rent,"Langbasa Addo, Ajah, Lagos",Added on 04 Nov 2020,2,1,3,2,1500000.00
412,3 bedroom flat for rent,"Ikeja GRA, Ikeja, Lagos",Added on 04 Nov 2020,3,3,1,2,3500000.00
413,3 bedroom flat for rent,"Parkview, Ikoyi, Lagos",Added on 04 Nov 2020,3,3,4,1,5000000.00
414,1 bedroom mini flat for rent,"Waterside, Lekki Phase 1, Lekki, Lagos",Added on 04 Nov 2020,1,3,3,1,1500000.00
415,3 bedroom flat for rent,"Private Estate, Via Berger, Ojodu, Lagos",Added on 04 Nov 2020,1,2,3,1,1000000.00
416,3 bedroom flat for rent,"Lekki Expressway, Lekki, Lagos",Added on 25 Sep 2020,3,1,4,6,1200000.00
417,2 bedroom flat for rent,"By Lagos Business School, Olokonla, Ajah, Lagos",Added on 04 Nov 2020,4,1,1,1,1000000.00
418,Self contained (single rooms) for rent,"Burrow Pit, Sangotedo, Ajah, Lagos",Added on 04 Sep 2020,3,1,1,1,350000.00
419,3 bedroom flat for rent,"Gerald Road, Old Ikoyi, Ikoyi, Lagos",Added on 03 Nov 2020,1,1,3,1,7000000.00
420,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added on 03 Nov 2020,3,3,4,12,400000.00
421,Self contained (single rooms) for rent,"Salem, Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,3,1,4,12,500000.00
422,3 bedroom flat for rent,"Onikoyi, Ikoyi, Lagos",Added on 14 Sep 2020,3,3,2,3,6000000.00
423,Self contained (single rooms) for rent,"5 Street Estate, Osapa, Lekki, Lagos",Added on 14 Sep 2020,2,1,1,5,300000.00
424,Self contained (single rooms) for rent,"White Oak Estate, Ologolo, Lekki, Lagos",Added on 12 Jul 2020,1,1,1,1,700000.00
425,2 bedroom flat for rent,"Off Ajose Adeogun, Victoria Island (VI), Lagos",Added on 30 Dec 2019,2,1,1,2,6500000.00
426,3 bedroom flat for rent,"Salem, Lekki Phase 1, Lekki, Lagos",Added on 12 Jun 2020,1,3,1,2,1600000.00
427,3 bedroom flat for rent,"Off Ajose Adeogun Street, Victoria Island (VI), Lagos",Added on 20 Oct 2020,3,2,2,9,7500000.00
428,4 bedroom flat for rent,"Atlantic View Estate, New Road, Lekki, Lagos",Added on 03 Nov 2020,3,1,4,3,1800000.00
429,1 bedroom mini flat for rent,"Ikota, Ikota, Lekki, Lagos",Added on 03 Nov 2020,3,1,1,1,1700000.00
430,3 bedroom flat for rent,"Chevron Drive, Lekki Expressway, Lekki, Lagos",Added on 03 Nov 2020,2,2,4,5,2400000.00
431,2 bedroom flat for rent,"Gated Well Secured Area, Ikate Elegushi, Lekki, Lagos",Added on 03 Nov 2020,3,3,1,5,2500000.00
432,2 bedroom flat for rent,"Palmwill Estate Badore Ajah, Badore, Ajah, Lagos",Added on 03 Nov 2020,3,1,1,5,1000000.00
433,1 bedroom mini flat for rent,"Palmwill Estate, Badore, Ajah, Lagos",Added on 03 Nov 2020,3,1,2,3,700000.00
434,3 bedroom flat for rent,"Off Palace Road, Oniru, Victoria Island (VI), Lagos",Added on 03 Nov 2020,3,1,4,8,4000000.00
435,2 bedroom flat for rent,"Sangotedo, Ajah, Lagos",Added on 20 May 2019,2,4,3,2,1100000.00
436,2 bedroom flat for rent,"Adewale Kolawole, Oniru, Victoria Island (VI), Lagos",Added on 03 Nov 2020,1,3,2,1,2800000.00
437,3 bedroom flat for rent,"Blenco Supermarket Area, Olokonla, Ajah, Lagos",Added on 30 Aug 2020,2,3,1,1,1500000.00
438,Self contained (single rooms) for rent,"Close To Fidiso Estate, Abijo, Lekki, Lagos",Added on 03 Nov 2020,3,1,3,3,220000.00
439,1 bedroom self contained (single rooms) for rent,"Chevron, Lekki Expressway, Lekki, Lagos",Added on 03 Nov 2020,2,1,4,1,750000.00
440,3 bedroom flat for rent,"Westwood Estate, Badore, Ajah, Lagos",Added on 03 Nov 2020,1,3,2,1,1100000.00
441,3 bedroom flat for rent,"Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,1,3,1,3,3500000.00
442,3 bedroom flat for rent,"First Unity Estate, Badore, Ajah, Lagos",Added on 03 Nov 2020,2,4,1,2,750000.00
443,2 bedroom flat for rent,"Onikanga, Ayobo, Lagos",Added on 03 Nov 2020,2,1,4,8,300000.00
444,1 bedroom self contained (single rooms) for rent,"Agungi, Lekki, Lagos",Added on 03 Nov 2020,2,2,4,2,650000.00
445,1 bedroom self contained (single rooms) for rent,"Agungi, Lekki Expressway, Lekki, Lagos",Added on 03 Nov 2020,3,1,1,2,850000.00
446,Self contained (single rooms) for rent,"Idado, Lekki, Lagos",Added on 03 Nov 2020,3,1,4,2,350000.00
447,1 bedroom self contained (single rooms) for rent,"New Road, Opposite Chevron, Lekki Expressway, Lekki, Lagos",Added on 03 Nov 2020,3,1,2,10,550000.00
448,Self contained (single rooms) for rent,"Osapa, Agungi Extention, Lekki Expressway, Lekki, Lagos",Added on 28 Aug 2020,2,3,2,1,350000.00
449,3 bedroom flat for rent,"Lekki Right, Lekki Phase 1, Lekki, Lagos",Added on 13 Jan 2020,1,3,2,2,3500000.00
450,1 bedroom mini flat for rent,"Soluyi, Gbagada, Lagos",Added on 03 Nov 2020,3,2,4,1,600000.00
451,3 bedroom flat for rent,"Off College Road, Ogba, Ikeja, Lagos",Added on 03 Nov 2020,1,3,4,6,1200000.00
452,Self contained (single rooms) for rent,"Idado Estate, Idado, Lekki, Lagos",Added on 03 Nov 2020,1,1,3,2,500000.00
453,Self contained (single rooms) for rent,"Agungi, Lekki, Lagos",Added on 02 Nov 2020,1,1,2,4,550000.00
454,1 bedroom mini flat for rent,"Antlantic View Estate, Igbo Efon, Lekki, Lagos",Added on 22 Oct 2020,1,1,3,2,1200000.00
455,3 bedroom flat for rent,"Thomas Estate, Ajah, Lagos",Added on 03 Nov 2020,3,1,2,4,1600000.00
456,2 bedroom flat for rent,"Off Yetunde Brown, Ifako, Gbagada, Lagos",Added on 03 Nov 2020,2,1,2,1,1200000.00
457,1 bedroom mini flat for rent,"Lekki Right Side, Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,2,1,4,2,2250000.00
458,Self contained (single rooms) for rent,"Ado Road, Ajah, Lagos",Added on 03 Nov 2020,2,3,4,2,400000.00
459,2 bedroom flat for rent,"Lagos Business School, Ajah, Lagos",Added on 03 Nov 2020,1,1,3,2,1200000.00
460,3 bedroom flat for rent,"Fashoro Street, Surulere, Lagos",Added on 03 Nov 2020,3,4,3,2,1200000.00
461,1 bedroom mini flat for rent,"Bisola Durosimi Etti Drive., Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,3,3,1,1,1000000.00
462,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 14 Oct 2020,3,1,1,9,300000.00
463,2 bedroom flat for rent,"Nnobi Street, Surulere, Lagos",Added on 01 Nov 2020,2,1,1,23,600000.00
464,3 bedroom flat for rent,"Off Chivita Avenue, Ajao Estate,, Isolo, Lagos",Added on 03 Nov 2020,3,3,1,28,1200000.00
465,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,3,1,1,25,3500000.00
466,2 bedroom flat for rent,"Nice Area Off Toyin Road, Ikeja, Lagos",Added on 19 Oct 2020,3,3,4,23,800000.00
467,3 bedroom flat for rent,"Ado, Ajah, Lagos",Added on 03 Nov 2020,3,1,5,3,1000000.00
468,1 bedroom mini flat for rent,"Badore, Ajah, Lagos",Added on 16 Oct 2020,2,2,4,2,700000.00
469,1 bedroom mini flat for rent,"Surulere, Lagos",Added on 02 Nov 2020,4,3,2,2,600000.00
470,1 bedroom mini flat for rent,"New Road/ Alfa Beach Road, Igbo Efon, Lekki, Lagos",Added on 03 Nov 2020,1,1,4,1,1000000.00
471,3 bedroom flat for rent,"Horizon Ii Estate, By Meadow Hall School, Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,2,2,1,2,3000000.00
472,3 bedroom flat for rent,"Osborne, Ikoyi, Lagos",Added on 02 Oct 2020,1,1,3,2,3000000.00
473,Self contained (single rooms) for rent,"Oniru, Victoria Island (VI), Lagos",Added on 03 Nov 2020,4,1,2,2,4000000.00
474,1 bedroom mini flat for rent,"New Road/ Alfa Beach Road, Igbo Efon, Lekki, Lagos",Added on 03 Nov 2020,2,3,3,1,1000000.00
475,2 bedroom flat for rent,"New Road/ Alfa Beach Rd, Igbo Efon, Lekki, Lagos",Added on 03 Nov 2020,3,3,1,6,1400000.00
476,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,3,3,2,3,1800000.00
477,1 bedroom mini flat for rent,"By Shoprite, Jakande, Lekki, Lagos",Added on 03 Nov 2020,3,2,1,1,1800000.00
478,1 bedroom mini flat for rent,"Atlantic View Estate Chevron, Lekki Phase 2, Lekki, Lagos",Added on 03 Nov 2020,3,4,1,9,1200000.00
479,3 bedroom flat for rent,"Omole Phase 2, Ikeja, Lagos",Added on 03 Nov 2020,1,3,4,2,1700000.00
480,3 bedroom flat for rent,"Idado, Lekki, Lagos",Added on 18 Sep 2019,1,3,4,1,2000000.00
481,2 bedroom flat for rent,"Ojodu, Lagos",Added on 08 Oct 2020,1,3,4,1,800000.00
482,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 08 Oct 2020,1,1,3,10,3000000.00
483,Self contained (single rooms) for rent,"Badore, Ajah, Lagos",Added on 18 Oct 2020,3,2,4,2,300000.00
484,Self contained (single rooms) for rent,"Shoprite Road, Osapa, Lekki, Lagos",Added on 26 Oct 2020,3,3,3,2,350000.00
485,Self contained (single rooms) for rent,"Ogombo Redeemed Junction, Ajah, Lagos",Added on 03 Nov 2020,1,2,3,15,200000.00
486,3 bedroom flat for rent,"Eleganza Garden, Opposite Vgc, Lekki, Lagos",Added on 19 Apr 2020,1,1,3,3,1800000.00
487,1 bedroom mini flat for rent,"By Freedom Way, Ikate Elegushi, Lekki, Lagos",Added on 03 Nov 2020,3,2,2,3,1800000.00
488,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 03 Nov 2020,1,2,2,15,2000000.00
489,Self contained (single rooms) for rent,"Osapa, Lekki, Lagos",Added on 03 Nov 2020,3,1,3,3,750000.00
490,3 bedroom flat for rent,"Off Ligali Ayorinde Street, Victoria Island Extension, Victoria Island (VI), Lagos",Added on 03 Nov 2020,3,1,3,5,5000000.00
491,Self contained (single rooms) for rent,"Osapa Ext.,, Agungi, Lekki, Lagos",Added on 03 Nov 2020,3,2,1,1,1000000.00
492,4 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 03 Nov 2020,1,1,2,1,22000000.00
493,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 03 Nov 2020,3,3,3,2,23000000.00
494,Self contained (single rooms) for rent,"Osapa Ext.,, Agungi, Lekki, Lagos",Added on 03 Nov 2020,2,3,1,2,1250000.00
495,1 bedroom mini flat for rent,"Ahmadu Bello Way, Victoria Island (VI), Lagos",Added on 03 Nov 2020,3,1,1,2,3000000.00
496,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 15 Oct 2020,3,3,3,2,3000000.00
497,Self contained (single rooms) for rent,"Kusenla, Ikate Elegushi, Lekki, Lagos",Added on 03 Nov 2020,1,2,1,2,650000.00
498,3 bedroom flat for rent,"Four Point, Oniru, Victoria Island (VI), Lagos",Added on 03 Nov 2020,3,1,3,5,5000000.00
499,Self contained (single rooms) for rent,"Osapa Extension, Agungi, Lekki, Lagos",Added on 29 Oct 2020,3,1,4,5,650000.00
